Sample,plot,Block,site,row,split,treatment,unique,Seeding_Rate,Nitrogen,Weeds,Fungicide,nitrate,phosphorus,potassium,OM,Fusarium,Fus_cat,FusariumPresence,Cochliob,CochliobPresence,VisualRating,Percent_Damage
barcode43,P311,R3,Post Farm,12,lSF,lShNnBF,9,Low,High,No Brome,Fungicide,15,6,192,2,0,None,No Fusarium,0,No Cochliob,2,50
barcode44,P312,R3,Post Farm,12,lSF,lSlNBF,15,Low,Low,Brome,Fungicide,3,5,174,2,3,Low,Fusarium,0,No Cochliob,2,50
barcode45,P313,R3,Post Farm,12,lSnF,lShNnBnF,10,Low,High,No Brome,No Fungicide,12,4,225,1.6,3,Low,Fusarium,0,No Cochliob,2.5,62.5
barcode46,P314,R3,Post Farm,12,lSnF,lShNBnF,12,Low,High,Brome,No Fungicide,9,4,162,1.9,5,High,Fusarium,0,No Cochliob,2.5,62.5
barcode47,P315,R3,Post Farm,12,lSnF,lSlNnBnF,14,Low,Low,No Brome,No Fungicide,6,5,192,1.9,0,None,No Fusarium,0,No Cochliob,2,50
barcode48,P316,R3,Post Farm,12,lSnF,lSlNBnF,16,Low,Low,Brome,No Fungicide,3,5,160,2,0,None,No Fusarium,0,No Cochliob,1,25
barcode49,P401,R4,Post Farm,13,lSF,lShNnBF,9,Low,High,No Brome,Fungicide,9,6,223,2.1,0,None,No Fusarium,1,Cochliob,1.5,37.5
barcode50,P402,R4,Post Farm,13,lSF,lShNBF,11,Low,High,Brome,Fungicide,9,6,173,2.1,0,None,No Fusarium,0,No Cochliob,2,50
barcode51,P403,R4,Post Farm,13,lSF,lSlNnBF,13,Low,Low,No Brome,Fungicide,9,4,200,1.9,3,Low,Fusarium,0,No Cochliob,1.5,37.5
barcode52,P404,R4,Post Farm,13,lSF,lSlNBF,15,Low,Low,Brome,Fungicide,6,3,196,1.8,4,High,Fusarium,0,No Cochliob,1.5,37.5
barcode53,P405,R4,Post Farm,13,hSF,hSlNnBF,5,High,Low,No Brome,Fungicide,6,5,165,1.9,0,None,No Fusarium,0,No Cochliob,3,75
barcode54,P406,R4,Post Farm,13,hSF,hShNBF,3,High,High,Brome,Fungicide,6,5,200,2.1,4,High,Fusarium,0,No Cochliob,3,75
barcode55,P407,R4,Post Farm,13,hSF,hSlNBF,7,High,Low,Brome,Fungicide,3,7,208,2,3,Low,Fusarium,0,No Cochliob,1.5,37.5
barcode56,P408,R4,Post Farm,13,hSF,hShNnBF,1,High,High,No Brome,Fungicide,3,4,237,2.1,8,High,Fusarium,0,No Cochliob,2.5,62.5
barcode57,P409,R4,Post Farm,13,hSnF,hShNnBnF,2,High,High,No Brome,No Fungicide,6,6,192,1.7,1,Low,Fusarium,0,No Cochliob,1.5,37.5
barcode58,P410,R4,Post Farm,13,hSnF,hSlNnBnF,6,High,Low,No Brome,No Fungicide,6,6,203,2.2,0,None,No Fusarium,0,No Cochliob,1.5,37.5
barcode59,P411,R4,Post Farm,13,hSnF,hSlNBnF,8,High,Low,Brome,No Fungicide,9,7,200,1.7,3,Low,Fusarium,0,No Cochliob,1.5,37.5
barcode60,P412,R4,Post Farm,13,hSnF,hShNBnF,4,High,High,Brome,No Fungicide,9,6,168,1.9,2,Low,Fusarium,0,No Cochliob,2,50
barcode61,P413,R4,Post Farm,13,lSnF,lSlNBnF,16,Low,Low,Brome,No Fungicide,9,6,182,1.9,2,Low,Fusarium,0,No Cochliob,2,50
barcode62,P414,R4,Post Farm,13,lSnF,lSlNnBnF,14,Low,Low,No Brome,No Fungicide,12,5,192,2,0,None,No Fusarium,0,No Cochliob,2,50
barcode63,P415,R4,Post Farm,13,lSnF,lShNBnF,12,Low,High,Brome,No Fungicide,12,3,151,1.9,0,None,No Fusarium,0,No Cochliob,2.5,62.5
barcode64,P416,R4,Post Farm,13,lSnF,lShNnBnF,10,Low,High,No Brome,No Fungicide,3,5,164,2,0,None,No Fusarium,0,No Cochliob,1,25
barcode65,P501,R5,Post Farm,14,hSnF,hShNBnF,4,High,High,Brome,No Fungicide,27,8,217,1.7,4,High,Fusarium,0,No Cochliob,3.5,87.5
barcode66,P502,R5,Post Farm,14,hSnF,hSlNnBnF,6,High,Low,No Brome,No Fungicide,6,5,178,1.9,1,Low,Fusarium,0,No Cochliob,2,50
barcode67,P503,R5,Post Farm,14,hSnF,hSlNBnF,8,High,Low,Brome,No Fungicide,12,4,190,1.7,5,High,Fusarium,0,No Cochliob,3,75
barcode68,P504,R5,Post Farm,14,hSnF,hShNnBnF,2,High,High,No Brome,No Fungicide,12,5,173,1.8,6,High,Fusarium,0,No Cochliob,3,75
barcode69,P505,R5,Post Farm,14,lSnF,lShNBnF,12,Low,High,Brome,No Fungicide,12,4,173,2,4,High,Fusarium,0,No Cochliob,3,75
barcode70,P506,R5,Post Farm,14,lSnF,lShNnBnF,10,Low,High,No Brome,No Fungicide,9,3,198,2,0,None,No Fusarium,0,No Cochliob,2.5,62.5
barcode71,P507,R5,Post Farm,14,lSnF,lSlNBnF,16,Low,Low,Brome,No Fungicide,15,4,178,1.5,0,None,No Fusarium,0,No Cochliob,2,50
barcode72,P508,R5,Post Farm,14,lSnF,lSlNnBnF,14,Low,Low,No Brome,No Fungicide,12,3,173,2,2,Low,Fusarium,0,No Cochliob,2.5,62.5
barcode73,P509,R5,Post Farm,14,lSF,lSlNnBF,13,Low,Low,No Brome,Fungicide,12,3,190,1.9,3,Low,Fusarium,0,No Cochliob,1,25
barcode74,P510,R5,Post Farm,14,lSF,lShNBF,11,Low,High,Brome,Fungicide,9,4,196,1.9,0,None,No Fusarium,0,No Cochliob,1,25
barcode75,P511,R5,Post Farm,14,lSF,lSlNBF,15,Low,Low,Brome,Fungicide,18,5,177,1.5,0,None,No Fusarium,0,No Cochliob,2.5,62.5
barcode76,P512,R5,Post Farm,14,lSF,lShNnBF,9,Low,High,No Brome,Fungicide,15,4,175,1.5,3,Low,Fusarium,0,No Cochliob,1.5,37.5
barcode77,P513,R5,Post Farm,14,hSF,hShNnBF,1,High,High,No Brome,Fungicide,15,4,144,1.8,0,None,No Fusarium,0,No Cochliob,1.5,37.5
barcode78,P514,R5,Post Farm,14,hSF,hShNBF,3,High,High,Brome,Fungicide,9,3,198,2.1,3,Low,Fusarium,0,No Cochliob,1,25
barcode79,P515,R5,Post Farm,14,hSF,hSlNnBF,5,High,Low,No Brome,Fungicide,6,4,186,1.9,0,None,No Fusarium,0,No Cochliob,1,25
barcode80,P516,R5,Post Farm,14,hSF,hSlNBF,7,High,Low,Brome,Fungicide,6,4,190,1.9,2,Low,Fusarium,0,No Cochliob,1,25
